	Word	PoS	FrSp		LL	FrWr
	bank	NoC	85	-	565.0	177
	until	Prep	82	-	608.0	177
	foreign	Adj	27	-	1909.8	177
	type	NoC	117	-	212.8	176
	need	NoC	101	-	363.1	176
	decision	NoC	97	-	402.2	176
	price	NoC	121	-	180.9	176
	US	NoP	2	-	3220.5	176
	terms	NoC	76	-	681.3	176
	minutes	NoC	253	+	278.3	175
	financial	Adj	78	-	641.1	175
	needed	Verb	77	-	662.3	175
	university	NoC	75	-	695.4	175
	president	NoC	76	-	660.1	174
	run	Verb	179	+	1.3	174
	certainly	Adv	299	+	682.1	173
	leave	Verb	289	+	583.0	173
	recent	Adj	36	-	1540.6	173
	club	NoC	90	-	460.5	173
	seem	Verb	146	-	39.4	173
	south	NoC	103	-	307.8	172
	north	NoC	88	-	464.4	171
	friend	NoC	102	-	303.8	171
	according to	Prep	37	-	1478.9	171
	matter	NoC	145	-	38.6	171
	lost	Verb	155	-	13.9	171
	trying	Verb	311	+	836.7	171
	soon	Adv	82	-	540.3	170
	quality	NoC	99	-	337.9	170
	ask	Verb	399	+	1997.2	170
	strong	Adj	77	-	606.9	170
	gone	Verb	418	+	2299.8	170
	led	Verb	24	-	1901.2	170
	union	NoC	134	-	74.7	169
	parents	NoC	111	-	212.8	169
	American	Adj	55	-	995.7	169
	production	NoC	50	-	1105.7	168
	as if	Conj	64	-	802.5	167
	date	NoC	80	-	541.7	167
	building	NoC	122	-	125.6	167
	makes	Verb	162	-	1.4	167
	everything	Pron	359	+	1493.2	167
	higher	Adj	66	-	755.3	167
	art	NoC	35	-	1487.6	166
	paper	NoC	232	+	212.2	166
	stage	NoC	126	-	98.5	166
	1990	Num	5	-	2774.9	166
	late	Adj	102	-	272.3	166
	low	Adj	91	-	384.3	166
	conditions	NoC	56	-	937.2	165
	include	Verb	35	-	1453.6	165
	started	Verb	261	+	436.5	165
	getting	Verb	539	+	4647.3	165
	Mr.	NoC	5	-	2751.0	164
	award	NoC	13	-	2288.3	163
	shown	Verb	40	-	1283.5	163
	chapter	NoC	30	-	1589.3	163
	followed	Verb	28	-	1658.2	163
	ground	NoC	80	-	484.9	163
	described	Verb	26	-	1725.5	162
	tax	NoC	107	-	197.5	162
	p.	NoC	0	-	3171.2	161
	English	Adj	52	-	969.5	161
	various	Adj	101	-	242.9	161
	May	NoP	50	-	1007.1	161
	secretary	NoC	96	-	284.3	161
	concerned	Adj	134	-	44.2	160
	king	NoC	37	-	1338.8	160
	despite	Prep	22	-	1846.0	160
	royal	Adj	38	-	1291.4	160
	pay	Verb	309	+	982.6	160
	lot*	NoC	992	+	16309.2	160
	meeting	NoC	178	+	18.9	160
	results	NoC	43	-	1157.2	159
	expected	Verb	35	-	1366.9	159
	David	NoP	138	-	28.7	159
	more   than	Adv	53	-	902.8	159
	April	NoP	44	-	1108.2	159
	clearly	Adv	107	-	177.7	159
	B / b	Lett	337	+	1353.4	159
	schools	NoC	118	-	106.5	159
	music	NoC	76	-	502.4	159
	knowledge	NoC	37	-	1314.3	158
	present	Adj	65	-	680.9	158
	situation	NoC	176	+	18.2	158
	hard	Adj	153	-	1.3	158
	girl	NoC	156	-	0.1	158
	decided	Verb	89	-	338.9	158
	required	Verb	30	-	1489.3	157
	students	NoC	48	-	1004.5	157
	hospital	NoC	97	-	254.3	157
	poor	Adj	100	-	220.9	157
	workers	NoC	63	-	688.2	157
	March	NoP	43	-	1109.8	157
	bed	NoC	177	+	24.6	156
	approach	NoC	48	-	994.8	156
	friends	NoC	104	-	185.9	156
	series	NoC	35	-	1323.1	156
	June	NoP	61	-	710.0	156
	tried	Verb	107	-	159.4	155
	ten	Num	616	+	6735.9	155
	ways	NoC	106	-	157.4	154
	game	NoC	112	-	122.3	154
	remember	Verb	513	+	4528.0	154
	natural	Adj	43	-	1060.8	154
	anyone	Pron	118	-	84.6	153
	field	NoC	58	-	731.4	153
	cost	NoC	115	-	94.8	153
	issue	NoC	112	-	108.1	152
	love	NoC	114	-	97.5	152
	added	Verb	26	-	1557.6	152
	light	NoC	90	-	279.2	152
	greater	Adj	50	-	878.0	152
	&	Conj	7	-	2402.1	151
	for	Conj	40	-	1120.3	151
	bases	NoC	94	-	228.8	150
	month	NoC	147	-	0.6	150
	moved	Verb	106	-	133.9	150
	further	Adv	97	-	195.7	150
	understand	Verb	203	+	156.2	149
	studies	NoC	18	-	1801.2	149
	6	Num	5	-	2518.8	149
	1989	Num	1	-	2830.5	149
	news	NoC	114	-	84.5	149
	security	NoC	49	-	868.9	149
	weeks	NoC	198	+	137.3	149
	hair	NoC	111	-	94.3	148
	project	NoC	84	-	314.1	148
	feet	NoC	85	-	297.5	147
	allowed	Verb	105	-	128.3	147
	bring	Verb	216	+	259.4	147
	amount	NoC	138	-	5.1	147
	above	Prep	49	-	838.1	147
	manager	NoC	65	-	548.8	147
	attention	NoC	51	-	805.8	147
	died	Verb	79	-	350.7	147
	heart	NoC	56	-	695.3	147
	future	NoC	99	-	165.3	147
	actually	Adv	1239	+	25097.6	147
	simple	Adj	81	-	335.0	147
	20	Num	1	-	2748.4	146
	kept	Verb	113	-	78.1	146
	met	Verb	70	-	461.3	146
	coming	Verb	522	+	5045.2	146
	force	NoC	48	-	855.2	146
	lord	NoC	136	-	6.0	146
	labour*	NoC	58	-	657.8	146
	following	Adj	29	-	1348.7	146
	carried	Verb	69	-	470.0	146
	meet	Verb	99	-	154.6	145
	movement	NoC	48	-	840.6	145
	individual	Adj	57	-	669.2	145
	analysis	NoC	26	-	1437.9	145
	computer	NoC	85	-	277.5	145
	French	Adj	40	-	1031.4	145
	considered	Verb	39	-	1037.6	144
	success	NoC	44	-	910.0	144
	near	Prep	88	-	242.4	144
	stood	Verb	36	-	1119.7	144
	up to	Prep	228	+	386.8	144
	easy	Adj	137	-	3.1	144
	agreement	NoC	42	-	949.4	143
	play	Verb	194	+	150.9	143
	structure	NoC	80	-	319.5	143
	1991	Num	3	-	2472.9	142
	agreed	Verb	85	-	258.1	142
	rest	NoC	136	-	3.0	142
	theory	NoC	35	-	1108.9	142
	cut	Verb	165	+	33.1	142
	account	NoC	72	-	403.8	142
	current	Adj	58	-	619.0	142
	per	Prep	72	-	406.7	142
	population	NoC	45	-	873.0	142
	paid	Verb	163	+	28.3	142
	evening	NoC	108	-	83.6	142
	story	NoC	95	-	161.8	141
	questions	NoC	153	+	8.4	141
	capital	NoC	57	-	615.0	141
	legal	Adj	41	-	944.9	141
	whom	Pron	26	-	1368.5	141
	material	NoC	44	-	884.1	141
	performance	NoC	36	-	1065.8	141
	modern	Adj	50	-	752.5	141
	growth	NoC	36	-	1061.1	141
	Scotland	NoP	47	-	796.3	140
	model	NoC	44	-	861.3	140
	received	Verb	46	-	828.1	140
	sent	Verb	110	-	65.2	140
	provided	Verb	38	-	999.8	140
	comes	Verb	328	+	1637.1	140
	in order	ClO	54	-	653.9	140
	sort	NoC	712	+	9947.3	140
	sea	NoC	45	-	832.2	140
	finally	Adv	48	-	775.7	140
	rights	NoC	48	-	778.6	139
	produced	Verb	43	-	877.1	139
	live	Verb	167	+	49.8	139
	board	NoC	100	-	106.7	138
	relationship	NoC	51	-	695.8	138
	son	NoC	72	-	365.0	138
	parties	NoC	36	-	1030.2	137
	final	Adj	54	-	625.6	137
	environment	NoC	70	-	377.7	137
	better	Adv	197	+	215.9	137
	letter	NoC	132	-	1.3	136
	books	NoC	87	-	196.6	136
	reached	Verb	18	-	1584.7	136
	authorities	NoC	72	-	350.4	136
